methotrexate 5,penicillin 800
methotrexate 5,aspirin 300
methotrexate 5,atorvastatin 10
methotrexate 5,tetracycline 100
methotrexate 5,ciprofloxacin 500
methotrexate 5,hydrocortisone 20
methotrexate 5,erythromycin 1000
tetracycline 25,penicillin 200
zolpidem 5,sodium oxybate 5
acetaZOLAMIDE 250,aspirin 500
atorvastatin 10,erythromycin 1000
ciprofloxacin 500,aspirin 300
ciprofloxacin 500,erythromycin 1000
hydrocortisone 20,ciprofloxacin 500
acetaZOLAMIDE 250,hydrocortisone 20
erythromycin 1000,hydrocortisone 20
aspirin 300,hydrocortisone 20
